[2024-01-27 12:44:37] ---->itr: 0::::: found: 0::::::::8.000000 - 8.000000 - 8.000000 - 
[2024-01-27 12:44:38] ---->itr: 1::::: found: 0::::::::4.000000 - 8.000000 - 8.000000 - 
[2024-01-27 12:44:38] ---->itr: 2::::: found: 0::::::::4.000000 - 8.000000 - 8.000000 - 
[2024-01-27 12:44:38] ---->itr: 3::::: found: 0::::::::4.000000 - 4.000000 - 8.000000 - 
[2024-01-27 12:44:38] ---->itr: 4::::: found: 0::::::::4.000000 - 4.000000 - 8.000000 - 
[2024-01-27 12:44:38] ---->itr: 5::::: found: 0::::::::4.000000 - 4.000000 - 4.000000 - 
[2024-01-27 12:44:38] ---->itr: 6::::: found: 0::::::::4.000000 - 4.000000 - 4.000000 - 
[2024-01-27 12:44:38] ---->itr: 7::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 12:44:38] ---->itr: 8::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 12:44:38] ---->itr: 9::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 12:44:38] ---->itr: 10::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 12:44:38] ---->itr: 11::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 12:44:38] ---->itr: 12::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 12:44:38] ---->itr: 13::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 12:44:38] ---->itr: 14::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 12:44:39] ---->itr: 15::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 12:44:39] ---->itr: 16::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 12:44:39] ---->itr: 17::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 12:44:39] ---->itr: 18::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 12:44:39] ---->itr: 19::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 12:44:39] ---->itr: 20::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 12:44:39] ---->itr: 21::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 12:44:39] ---->itr: 22::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 12:44:40] ---->itr: 23::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 12:44:40] ---->itr: 24::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 12:44:40] ---->itr: 25::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 12:44:40] ---->itr: 26::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 12:44:40] ---->itr: 27::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 12:44:40] ---->itr: 28::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 12:44:40] ---->itr: 29::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 12:44:41] ---->itr: 30::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 12:44:41] ---->itr: 31::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 12:44:41] ---->itr: 32::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 12:44:41] ---->itr: 33::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 12:44:41] ---->itr: 34::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 12:44:41] ---->itr: 35::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 12:44:42] ---->itr: 36::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 12:44:42] ---->itr: 37::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 12:44:42] ---->itr: 38::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 12:44:42] ---->itr: 39::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 12:44:42] ---->itr: 40::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 12:44:42] ---->itr: 41::::: found: 0::::::::0.500000 - 0.500000 - 0.500000 - 
[2024-01-27 12:44:42] ---->itr: 42::::: found: 1::::::::0.500000 - 0.500000 - 0.500000 - 
[2024-01-27 12:44:43] ---->itr: 43::::: found: 2::::::::0.500000 - 0.500000 - 0.500000 - 
[2024-01-27 12:44:43] ---->itr: 44::::: found: 3::::::::0.500000 - 0.500000 - 0.500000 - 
[2024-01-27 12:44:43] ---->itr: 45::::: found: 4::::::::0.500000 - 0.500000 - 0.500000 - 
[2024-01-27 12:44:43] ---->itr: 46::::: found: 5::::::::0.500000 - 0.500000 - 0.500000 - 
[2024-01-27 12:44:43] ---->itr: 47::::: found: 6::::::::0.500000 - 0.500000 - 0.500000 - 
[2024-01-27 12:44:43] ---->itr: 48::::: found: 7::::::::0.500000 - 0.500000 - 0.500000 - 
[2024-01-27 12:44:43] ---->itr: 49::::: found: 8::::::::0.500000 - 0.500000 - 0.500000 - 
[2024-01-27 12:44:44] ---->itr: 50::::: found: 9::::::::0.500000 - 0.500000 - 0.500000 - 
[2024-01-27 12:44:44] ---->itr: 51::::: found: 10::::::::0.500000 - 0.500000 - 0.500000 - 
[2024-01-27 12:44:44] ---->itr: 52::::: found: 11::::::::0.500000 - 0.500000 - 0.500000 - 
[2024-01-27 12:44:44] ---->itr: 53::::: found: 12::::::::0.500000 - 0.500000 - 0.500000 - 
[2024-01-27 12:44:44] ---->itr: 54::::: found: 13::::::::0.500000 - 0.500000 - 0.500000 - 
[2024-01-27 12:44:44] ---->itr: 55::::: found: 14::::::::0.500000 - 0.500000 - 0.500000 - 
[2024-01-27 12:44:44] ---->itr: 56::::: found: 15::::::::0.500000 - 0.500000 - 0.500000 - 
[2024-01-27 12:44:45] ---->itr: 57::::: found: 16::::::::0.500000 - 0.500000 - 0.500000 - 
[2024-01-27 12:44:45] ---->itr: 58::::: found: 17::::::::0.500000 - 0.500000 - 0.500000 - 
[2024-01-27 12:44:45] ---->itr: 59::::: found: 18::::::::0.500000 - 0.500000 - 0.500000 - 
[2024-01-27 12:44:45] ---->itr: 60::::: found: 19::::::::0.500000 - 0.500000 - 0.500000 - 
[2024-01-27 12:44:45] SMT-CALLS:16
[2024-01-27 12:44:45] GRIDS:20
