[2024-01-27 13:18:02] ---->itr: 95::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:02] ---->itr: 96::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:02] ---->itr: 97::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:02] ---->itr: 98::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:02] ---->itr: 99::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:02] ---->itr: 100::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:02] ---->itr: 101::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:03] ---->itr: 102::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:03] ---->itr: 103::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:03] ---->itr: 104::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:03] ---->itr: 105::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:03] ---->itr: 106::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:03] ---->itr: 107::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:03] ---->itr: 108::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:03] ---->itr: 109::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:03] ---->itr: 110::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
