[2024-01-27 13:36:24] ---->itr: 59::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:36:24] ---->itr: 60::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:36:24] ---->itr: 61::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:36:25] ---->itr: 62::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:36:25] ---->itr: 63::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 64::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 65::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 66::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 67::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 68::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 69::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 70::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 71::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 72::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 73::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 74::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 75::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 76::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 77::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 78::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 79::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 80::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 81::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 82::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 83::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 84::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 85::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 86::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 87::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 88::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 89::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 90::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 91::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:25] ---->itr: 92::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 93::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 94::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 95::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 96::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 97::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 98::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 99::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 100::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
