[2024-01-27 12:59:26] ---->itr: 83::::: found: 2::::::::0.500000 - 1.000000 - 
[2024-01-27 12:59:26] ---->itr: 84::::: found: 2::::::::0.500000 - 1.000000 - 
[2024-01-27 12:59:26] ---->itr: 85::::: found: 2::::::::0.500000 - 1.000000 - 
[2024-01-27 12:59:26] ---->itr: 86::::: found: 2::::::::0.500000 - 1.000000 - 
[2024-01-27 12:59:26] ---->itr: 87::::: found: 2::::::::0.500000 - 1.000000 - 
[2024-01-27 12:59:26] ---->itr: 88::::: found: 2::::::::0.500000 - 1.000000 - 
[2024-01-27 12:59:26] ---->itr: 89::::: found: 2::::::::0.500000 - 1.000000 - 
[2024-01-27 12:59:26] ---->itr: 90::::: found: 3::::::::0.500000 - 1.000000 - 
[2024-01-27 12:59:27] ---->itr: 91::::: found: 3::::::::0.500000 - 1.000000 - 
[2024-01-27 12:59:27] ---->itr: 92::::: found: 3::::::::0.500000 - 1.000000 - 
[2024-01-27 12:59:27] ---->itr: 93::::: found: 4::::::::0.500000 - 1.000000 - 
[2024-01-27 12:59:27] ---->itr: 94::::: found: 4::::::::0.500000 - 1.000000 - 
[2024-01-27 12:59:27] ---->itr: 95::::: found: 4::::::::0.500000 - 1.000000 - 
[2024-01-27 12:59:27] ---->itr: 96::::: found: 4::::::::0.500000 - 1.000000 - 
[2024-01-27 12:59:27] ---->itr: 97::::: found: 4::::::::0.500000 - 1.000000 - 
[2024-01-27 12:59:27] ---->itr: 98::::: found: 4::::::::0.500000 - 1.000000 - 
[2024-01-27 12:59:27] ---->itr: 99::::: found: 4::::::::0.500000 - 1.000000 - 
[2024-01-27 12:59:27] ---->itr: 100::::: found: 4::::::::0.500000 - 1.000000 - 
[2024-01-27 12:59:28] ---->itr: 101::::: found: 4::::::::0.500000 - 1.000000 - 
[2024-01-27 12:59:28] ---->itr: 102::::: found: 4::::::::0.500000 - 1.000000 - 
[2024-01-27 12:59:28] ---->itr: 103::::: found: 4::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:28] ---->itr: 104::::: found: 5::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:28] ---->itr: 105::::: found: 6::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:28] ---->itr: 106::::: found: 7::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:28] ---->itr: 107::::: found: 8::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:29] ---->itr: 108::::: found: 9::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:29] ---->itr: 109::::: found: 10::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:29] ---->itr: 110::::: found: 11::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:29] ---->itr: 111::::: found: 12::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:29] ---->itr: 112::::: found: 13::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:29] ---->itr: 113::::: found: 14::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:29] ---->itr: 114::::: found: 15::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:29] ---->itr: 115::::: found: 16::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:29] ---->itr: 116::::: found: 17::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:29] ---->itr: 117::::: found: 18::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:29] ---->itr: 118::::: found: 19::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:29] ---->itr: 119::::: found: 20::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:29] ---->itr: 120::::: found: 21::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:29] ---->itr: 121::::: found: 22::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:30] ---->itr: 122::::: found: 23::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:30] ---->itr: 123::::: found: 23::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:30] ---->itr: 124::::: found: 24::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:30] ---->itr: 125::::: found: 25::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:30] ---->itr: 126::::: found: 26::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:30] ---->itr: 127::::: found: 27::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:30] ---->itr: 128::::: found: 28::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:30] ---->itr: 129::::: found: 29::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:30] ---->itr: 130::::: found: 30::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:30] ---->itr: 131::::: found: 31::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:30] ---->itr: 132::::: found: 32::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:30] ---->itr: 133::::: found: 33::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:30] ---->itr: 134::::: found: 33::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:31] ---->itr: 135::::: found: 34::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:31] ---->itr: 136::::: found: 35::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:31] ---->itr: 137::::: found: 36::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:31] ---->itr: 138::::: found: 37::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:31] ---->itr: 139::::: found: 38::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:31] ---->itr: 140::::: found: 39::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:31] ---->itr: 141::::: found: 40::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:31] ---->itr: 142::::: found: 41::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:31] ---->itr: 143::::: found: 42::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:31] ---->itr: 144::::: found: 43::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:31] ---->itr: 145::::: found: 44::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:31] ---->itr: 146::::: found: 45::::::::0.500000 - 0.500000 - 
[2024-01-27 12:59:32] SMT-CALLS:8
[2024-01-27 12:59:32] GRIDS:46
