[2024-01-27 05:24:54] ---->itr: 0::::: found: 0::::::::8.000000 - 8.000000 - 8.000000 - 
[2024-01-27 05:24:56] ---->itr: 55::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 56::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 57::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 58::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 59::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 60::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 61::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 62::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 63::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 64::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 65::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 66::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 67::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 68::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 69::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 70::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 71::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 72::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 73::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 74::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 75::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 76::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 77::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 78::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 79::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 80::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 81::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 82::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 83::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 84::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 85::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:56] ---->itr: 86::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 87::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 88::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 89::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 90::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 91::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 92::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 93::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 94::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 95::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 96::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 97::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 98::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 99::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 100::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 101::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 102::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 103::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 104::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 105::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 106::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 107::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 108::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 109::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 110::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 111::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 112::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 113::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 114::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 115::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 116::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 117::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 118::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 05:24:57] ---->itr: 119::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:57] ---->itr: 120::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:57] ---->itr: 121::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:57] ---->itr: 122::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:57] ---->itr: 123::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:57] ---->itr: 124::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:57] ---->itr: 125::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:57] ---->itr: 126::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:57] ---->itr: 127::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:57] ---->itr: 128::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:57] ---->itr: 129::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:57] ---->itr: 130::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:57] ---->itr: 131::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:57] ---->itr: 132::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:57] ---->itr: 133::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:57] ---->itr: 134::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:57] ---->itr: 135::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:57] ---->itr: 136::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:57] ---->itr: 137::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 138::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 139::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 140::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 141::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 142::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 143::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 144::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 145::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 146::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 147::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 148::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 149::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 150::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 151::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 152::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 153::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 154::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 155::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 156::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 157::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 158::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 159::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 160::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 161::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 162::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 163::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:58] ---->itr: 164::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 165::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 166::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 167::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 168::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 169::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 170::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 171::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 172::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 173::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 174::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 175::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 176::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 177::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 178::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 179::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 180::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 181::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 182::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 183::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 184::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 185::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 186::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 187::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 188::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 189::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 190::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 191::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 192::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 193::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 194::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 195::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 196::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 197::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 198::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:24:59] ---->itr: 199::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 200::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 201::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 202::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 203::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 204::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 205::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 206::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 207::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 208::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 209::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 210::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 211::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 212::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 213::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 214::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 215::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 216::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 217::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 218::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 219::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 220::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 221::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 222::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 223::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 224::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 225::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 226::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 227::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 228::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 229::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 230::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 231::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 232::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 233::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 234::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 235::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 236::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 237::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 238::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 239::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 240::::: found: 0::::::::0.500000 - 1.000000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 241::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 242::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 243::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 244::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 245::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 246::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 247::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 248::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 249::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 250::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 251::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
[2024-01-27 05:25:00] ---->itr: 252::::: found: 0::::::::0.500000 - 0.500000 - 1.000000 - 
