[2024-01-27 15:30:37] ---->itr: 21::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 15:30:38] ---->itr: 22::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 15:30:38] ---->itr: 23::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 15:30:38] ---->itr: 24::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 15:30:38] ---->itr: 25::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 15:30:38] ---->itr: 26::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 15:30:38] ---->itr: 27::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 15:30:38] ---->itr: 28::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 15:30:39] ---->itr: 29::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 15:30:39] ---->itr: 30::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 15:30:39] ---->itr: 31::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:39] ---->itr: 32::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:39] ---->itr: 33::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:39] ---->itr: 34::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:39] ---->itr: 35::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:39] ---->itr: 36::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:40] ---->itr: 37::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:40] ---->itr: 38::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:40] ---->itr: 39::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
