[2024-01-27 06:06:02] ---->itr: 0::::: found: 0::::::::8.000000 - 8.000000 - 8.000000 - 
[2024-01-27 06:06:03] ---->itr: 1::::: found: 0::::::::4.000000 - 8.000000 - 8.000000 - 
[2024-01-27 06:06:03] ---->itr: 2::::: found: 0::::::::4.000000 - 8.000000 - 8.000000 - 
[2024-01-27 06:06:03] ---->itr: 3::::: found: 0::::::::4.000000 - 4.000000 - 8.000000 - 
[2024-01-27 06:06:03] ---->itr: 4::::: found: 0::::::::4.000000 - 4.000000 - 8.000000 - 
[2024-01-27 06:06:03] ---->itr: 5::::: found: 0::::::::4.000000 - 4.000000 - 8.000000 - 
[2024-01-27 06:06:03] ---->itr: 6::::: found: 0::::::::4.000000 - 4.000000 - 8.000000 - 
[2024-01-27 06:06:03] ---->itr: 7::::: found: 0::::::::4.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:03] ---->itr: 8::::: found: 0::::::::4.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:03] ---->itr: 9::::: found: 0::::::::4.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:03] ---->itr: 10::::: found: 0::::::::4.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:03] ---->itr: 11::::: found: 0::::::::4.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:03] ---->itr: 12::::: found: 0::::::::4.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:03] ---->itr: 13::::: found: 0::::::::4.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:03] ---->itr: 14::::: found: 0::::::::4.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:03] ---->itr: 15::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:03] ---->itr: 16::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:03] ---->itr: 17::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:03] ---->itr: 18::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:03] ---->itr: 19::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:03] ---->itr: 20::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:03] ---->itr: 21::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:03] ---->itr: 22::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:04] ---->itr: 23::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:04] ---->itr: 24::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:04] ---->itr: 25::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:04] ---->itr: 26::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:04] ---->itr: 27::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:04] ---->itr: 28::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:04] ---->itr: 29::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:04] ---->itr: 30::::: found: 0::::::::2.000000 - 4.000000 - 4.000000 - 
[2024-01-27 06:06:04] ---->itr: 31::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
